dept,endsite,time,m,w,num
7,260,2016-02-20,2,6,380
7,260,2016-02-21,2,7,396
7,260,2016-02-22,2,1,282
7,260,2016-02-23,2,2,721
7,260,2016-02-24,2,3,700
7,260,2016-02-25,2,4,379
7,260,2016-02-26,2,5,420
7,260,2016-02-27,2,6,427
7,260,2016-02-28,2,7,378
7,260,2016-02-29,2,1,344
7,260,2016-03-01,3,2,331
7,260,2016-03-02,3,3,337
7,260,2016-03-03,3,4,350
7,260,2016-03-04,3,5,359
7,260,2016-03-05,3,6,477
7,260,2016-03-06,3,7,419
7,260,2016-03-07,3,1,373
7,260,2016-03-08,3,2,268
7,260,2016-03-09,3,3,266
7,260,2016-03-10,3,4,294
7,260,2016-03-11,3,5,383
7,260,2016-03-12,3,6,451
7,260,2016-03-13,3,7,412
7,260,2016-03-14,3,1,383
7,260,2016-03-15,3,2,326
7,260,2016-03-16,3,3,373
7,260,2016-03-17,3,4,335
7,260,2016-03-18,3,5,395
7,260,2016-03-19,3,6,492
7,260,2016-03-20,3,7,386
7,260,2016-03-21,3,1,395
7,260,2016-03-22,3,2,348
7,260,2016-03-23,3,3,367
7,260,2016-03-24,3,4,300
7,260,2016-03-25,3,5,460
7,260,2016-03-26,3,6,435
7,260,2016-03-27,3,7,383
7,260,2016-03-28,3,1,347
7,260,2016-03-29,3,2,311
7,260,2016-03-30,3,3,309
7,260,2016-03-31,3,4,462
7,260,2016-04-01,4,5,1222
7,260,2016-04-02,4,6,1156
7,260,2016-04-03,4,7,690
7,260,2016-04-04,4,1,473
7,260,2016-04-05,4,2,368
7,260,2016-04-06,4,3,253
7,260,2016-04-07,4,4,330
7,260,2016-04-08,4,5,331
7,260,2016-04-09,4,6,319
7,260,2016-04-10,4,7,356
7,260,2016-04-11,4,1,316
7,260,2016-04-12,4,2,303
7,260,2016-04-13,4,3,323
7,260,2016-04-14,4,4,307
7,260,2016-04-15,4,5,425
7,260,2016-04-16,4,6,361
7,260,2016-04-17,4,7,394
7,260,2016-04-18,4,1,355
7,260,2016-04-19,4,2,285
7,260,2016-04-20,4,3,292
7,260,2016-04-21,4,4,422
7,260,2016-04-22,4,5,387
7,260,2016-04-23,4,6,367
7,260,2016-04-24,4,7,406
7,260,2016-04-25,4,1,312
7,260,2016-04-26,4,2,278
7,260,2016-04-27,4,3,361
7,260,2016-04-28,4,4,464
7,260,2016-04-29,4,5,900
7,260,2016-04-30,4,6,962
7,260,2016-05-01,5,7,664
7,260,2016-05-02,5,1,707
7,260,2016-05-03,5,2,441
7,260,2016-05-04,5,3,315
7,260,2016-05-05,5,4,327
7,260,2016-05-06,5,5,357
7,260,2016-05-07,5,6,334
7,260,2016-05-08,5,7,406
7,260,2016-05-09,5,1,296
7,260,2016-05-10,5,2,357
7,260,2016-05-11,5,3,298
7,260,2016-05-12,5,4,263
7,260,2016-05-13,5,5,392
7,260,2016-05-14,5,6,335
7,260,2016-05-15,5,7,344
7,260,2016-05-16,5,1,285
7,260,2016-05-17,5,2,256
7,260,2016-05-18,5,3,256
7,260,2016-05-19,5,4,292
7,260,2016-05-20,5,5,437
7,260,2016-05-21,5,6,399
7,260,2016-05-22,5,7,374
7,260,2016-05-23,5,1,291
7,260,2016-05-24,5,2,255
7,260,2016-05-25,5,3,261
7,260,2016-05-26,5,4,295
7,260,2016-05-27,5,5,348
7,260,2016-05-28,5,6,339
7,260,2016-05-29,5,7,313
7,260,2016-05-30,5,1,263
7,260,2016-05-31,5,2,268
8,260,2016-01-01,1,5,883
8,260,2016-01-02,1,6,542
